city,timestamp,temperature,season
New York,2010-01-01,-1.7898993739231692,winter
New York,2010-01-02,6.455781663538419,winter
New York,2010-01-03,-4.895587895063212,winter
New York,2010-01-04,-11.391631465828514,winter
New York,2010-01-05,-2.692335575598515,winter
New York,2010-01-06,5.911034691767573,winter
New York,2010-01-07,2.4255576791428233,winter
New York,2010-01-08,-6.76060553246077,winter
New York,2010-01-09,-2.675677056952617,winter
New York,2010-01-10,-2.917334088928677,winter
New York,2010-01-11,1.7708386154062539,winter
New York,2010-01-12,-1.1138062778950262,winter
New York,2010-01-13,-0.9085388516840032,winter
New York,2010-01-14,0.7042984720952192,winter
New York,2010-01-15,3.296799025106817,winter
New York,2010-01-16,-4.244085231950197,winter
New York,2010-01-17,-0.45460544133791303,winter
New York,2010-01-18,-4.43535482590573,winter
New York,2010-01-19,10.14251385706628,winter
New York,2010-01-20,-9.760251934224742,winter
New York,2010-01-21,-3.449028686032162,winter
New York,2010-01-22,-0.16640849033044663,winter
New York,2010-01-23,0.9508989116299293,winter
New York,2010-01-24,2.8854655584183497,winter
New York,2010-01-25,-1.941466237672618,winter
New York,2010-01-26,8.861893124092465,winter
New York,2010-01-27,-0.33107235187656914,winter
New York,2010-01-28,1.415924824923035,winter
New York,2010-01-29,2.890611638509836,winter
New York,2010-01-30,5.848142327961758,winter
New York,2010-01-31,-0.36428717714310554,winter
New York,2010-02-01,-4.793718545332487,winter
New York,2010-02-02,3.989732144132474,winter
New York,2010-02-03,-4.672130480890366,winter
New York,2010-02-04,-4.977164087800797,winter
New York,2010-02-05,-2.045488249468686,winter
New York,2010-02-06,1.381442495516728,winter
New York,2010-02-07,4.138390236303565,winter
New York,2010-02-08,-4.785252741279081,winter
New York,2010-02-09,-0.24185834195472122,winter
New York,2010-02-10,4.817245305283246,winter
New York,2010-02-11,-3.59238326903935,winter
New York,2010-02-12,3.6997440509567223,winter
New York,2010-02-13,4.143461191600515,winter
New York,2010-02-14,4.730791720232564,winter
New York,2010-02-15,8.585166864895664,winter
New York,2010-02-16,-0.7876563947422409,winter
New York,2010-02-17,1.6615769838743246,winter
New York,2010-02-18,4.1027295961578005,winter
New York,2010-02-19,2.1677376994770317,winter
New York,2010-02-20,-0.3942270041319067,winter
New York,2010-02-21,-9.556441766711794,winter
New York,2010-02-22,-1.5121495868845203,winter
New York,2010-02-23,-0.9899949781355861,winter
New York,2010-02-24,-2.129747053374578,winter
New York,2010-02-25,6.676113584559584,winter
New York,2010-02-26,0.663427332667053,winter
New York,2010-02-27,-0.3968653183668713,winter
New York,2010-02-28,3.870028624583735,winter
New York,2010-03-01,10.455867293083116,spring
New York,2010-03-02,11.25687232984574,spring
New York,2010-03-03,15.383291550892773,spring
New York,2010-03-04,2.858843514487708,spring
New York,2010-03-05,13.011550614729952,spring
New York,2010-03-06,11.197300878426256,spring
New York,2010-03-07,10.13620174347429,spring
New York,2010-03-08,15.898003949261703,spring
New York,2010-03-09,6.193110142871897,spring
New York,2010-03-10,11.168410451451155,spring
New York,2010-03-11,8.999017404546438,spring
New York,2010-03-12,10.22774142147492,spring
New York,2010-03-13,10.167873193571808,spring
New York,2010-03-14,7.9870112244045455,spring
New York,2010-03-15,11.437561886137765,spring
New York,2010-03-16,11.46159798701646,spring
New York,2010-03-17,7.190056560824253,spring
New York,2010-03-18,5.707912446674314,spring
New York,2010-03-19,5.319023036273459,spring
New York,2010-03-20,14.302769903095706,spring
New York,2010-03-21,12.43013185292068,spring
New York,2010-03-22,6.224994290082274,spring
New York,2010-03-23,16.109250827327013,spring
New York,2010-03-24,11.563454682197857,spring
New York,2010-03-25,14.026114856861476,spring
New York,2010-03-26,10.417058866116838,spring
New York,2010-03-27,7.361440036024387,spring
New York,2010-03-28,11.66835232563832,spring
New York,2010-03-29,12.370124888708986,spring
New York,2010-03-30,12.181593431234997,spring
New York,2010-03-31,-0.7956509636869473,spring
New York,2010-04-01,7.264338515476154,spring
New York,2010-04-02,10.89264066359673,spring
New York,2010-04-03,4.062244226602855,spring
New York,2010-04-04,15.006448994188595,spring
New York,2010-04-05,7.631193421280748,spring
New York,2010-04-06,7.509981590252469,spring
New York,2010-04-07,11.068200666799878,spring
New York,2010-04-08,10.071069098577002,spring
New York,2010-04-09,4.185128344419517,spring
New York,2010-04-10,20.97794713671356,spring
New York,2010-04-11,3.1898342271879834,spring
New York,2010-04-12,5.057115808411284,spring
New York,2010-04-13,8.926121172469404,spring
New York,2010-04-14,12.023751692493036,spring
New York,2010-04-15,9.461973033436768,spring
New York,2010-04-16,5.959776079536732,spring
New York,2010-04-17,8.954751745361532,spring
New York,2010-04-18,5.774033081772613,spring
New York,2010-04-19,10.336250972040384,spring
New York,2010-04-20,6.596885059465205,spring
New York,2010-04-21,4.626425387254004,spring
New York,2010-04-22,19.701363520175633,spring
New York,2010-04-23,2.12666523385633,spring
New York,2010-04-24,11.152891248138898,spring
New York,2010-04-25,15.256526626111604,spring
New York,2010-04-26,2.115632597084428,spring
New York,2010-04-27,10.825354356559593,spring
New York,2010-04-28,3.4589857951149376,spring
New York,2010-04-29,15.200108884023152,spring
New York,2010-04-30,4.805437097256602,spring
New York,2010-05-01,14.88371942444595,spring
New York,2010-05-02,9.576910612301925,spring
New York,2010-05-03,21.037249822804462,spring
New York,2010-05-04,13.003644281269175,spring
New York,2010-05-05,17.053997668896738,spring
New York,2010-05-06,6.8785488586703405,spring
New York,2010-05-07,10.400182317447866,spring
New York,2010-05-08,8.02198313897532,spring
New York,2010-05-09,17.28090270010729,spring
New York,2010-05-10,7.68696649559064,spring
New York,2010-05-11,-3.4655340592580437,spring
New York,2010-05-12,5.189812808512293,spring
New York,2010-05-13,15.360243766873936,spring
New York,2010-05-14,17.108627607478656,spring
New York,2010-05-15,7.611827969136996,spring
New York,2010-05-16,6.455545241540325,spring
New York,2010-05-17,1.9235904701352666,spring
New York,2010-05-18,9.251893923400509,spring
New York,2010-05-19,6.050802756613654,spring
New York,2010-05-20,17.409889015513272,spring
New York,2010-05-21,18.808424654239275,spring
New York,2010-05-22,9.755204417328711,spring
New York,2010-05-23,6.555952199364085,spring
New York,2010-05-24,10.893613666848147,spring
New York,2010-05-25,9.942301379036058,spring
New York,2010-05-26,7.956315035563298,spring
New York,2010-05-27,10.847923299890587,spring
New York,2010-05-28,14.355998125031102,spring
New York,2010-05-29,9.924209477493587,spring
New York,2010-05-30,14.393189394447752,spring
New York,2010-05-31,14.142877758745199,spring
New York,2010-06-01,28.76628753605756,summer
New York,2010-06-02,23.198937493405975,summer
New York,2010-06-03,23.197106747406412,summer
New York,2010-06-04,22.261550145731164,summer
New York,2010-06-05,20.483583178165055,summer
New York,2010-06-06,33.38840482442697,summer
New York,2010-06-07,21.87928428027729,summer
New York,2010-06-08,23.28317020990002,summer
New York,2010-06-09,32.86621829813633,summer
New York,2010-06-10,30.13335203608654,summer
New York,2010-06-11,28.474299441033196,summer
New York,2010-06-12,24.590266942481765,summer
New York,2010-06-13,23.457118597562523,summer
New York,2010-06-14,25.34960653765925,summer
New York,2010-06-15,31.88046271371824,summer
New York,2010-06-16,30.294998336902218,summer
New York,2010-06-17,29.774482370253004,summer
New York,2010-06-18,28.42862073928877,summer
New York,2010-06-19,24.73900368075362,summer
New York,2010-06-20,30.8393801801864,summer
New York,2010-06-21,23.166779197692787,summer
New York,2010-06-22,19.88136296720949,summer
New York,2010-06-23,27.237891593677936,summer
New York,2010-06-24,33.80716142919448,summer
New York,2010-06-25,28.4308848208237,summer
New York,2010-06-26,31.827974065038873,summer
New York,2010-06-27,16.53625508316392,summer
New York,2010-06-28,22.735778990569493,summer
New York,2010-06-29,27.922090088156004,summer
New York,2010-06-30,16.080669989471165,summer
New York,2010-07-01,17.690423476466197,summer
New York,2010-07-02,24.186820181084183,summer
New York,2010-07-03,26.644586698021765,summer
New York,2010-07-04,24.956992930020316,summer
New York,2010-07-05,22.58678752330117,summer
